Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
6,Tyler Marklyn,Death and Taxes,,Won,2,0,0,David Scott,Miracles,
6,Rudy Maynard,4c Loam,,Won,2,1,0,Scott Alter,Infect,
6,Brenden Mcbain,Imperial Painter,,ID,0,0,1,Matthew Mccullough,Elves,
6,Matthew Mccullough,Elves,,ID,0,0,1,Brenden Mcbain,Imperial Painter,
6,Generie Marc Peco,RG Lands,,ID,0,0,1,Kevin Corliss,Miracles,
6,John Phillpot,ANT,,Lost,0,2,0,Joel Kittinger,Deadguy Ale,
6,Adam Prusa,RG Lands,,Won,2,0,0,Michael Wallio,UR Delver,
6,Paul Riordan,BR Reanimator,,Lost,1,2,0,Samuel Hriljac,Miracles,
6,David Scott,Miracles,,Lost,0,2,0,Tyler Marklyn,Death and Taxes,
6,Karl Spreine,RUG Delver,,Won,2,0,0,Daniel Goh,Death and Taxes,
6,Shawn Tabrizi,Grixis Delver,,Won,2,1,0,Thomas Dowd,Tin Fins,
6,Aaron Walker,Aluren,,Lost,0,2,0,Percy Fang,BUG Delver,
6,Michael Wallio,UR Delver,,Lost,0,2,0,Adam Prusa,RG Lands,
6,Miles Wallio,Elves,,Lost,1,2,0,Shawn Yu,Aluren,
6,Chad Warford,RG Lands,,Won,2,0,0,Luke Kutrich,Eldrazi,
6,Kris Williams,Death and Taxes,,Lost,1,2,0,Thomas Lynch,TES,
6,Shawn Yu,Aluren,,Won,2,1,0,Miles Wallio,Elves,
Q,Kevin Corliss,Miracles,,Lost,0,2,0,Rudy Maynard,4c Loam,
Q,Thomas Dowd,Tin Fins,,Lost,1,2,0,Brenden Mcbain,Imperial Painter,
Q,Tyler Marklyn,Death and Taxes,,Won,2,1,0,Matthew Mccullough,Elves,
Q,Rudy Maynard,4c Loam,,Won,2,0,0,Kevin Corliss,Miracles,
Q,Brenden Mcbain,Imperial Painter,,Won,2,1,0,Thomas Dowd,Tin Fins,
Q,Matthew Mccullough,Elves,,Lost,1,2,0,Tyler Marklyn,Death and Taxes,
Q,Generie Marc Peco,RG Lands,,Won,2,0,0,Shawn Tabrizi,Grixis Delver,
Q,Shawn Tabrizi,Grixis Delver,,Lost,0,2,0,Generie Marc Peco,RG Lands,
S,Tyler Marklyn,Death and Taxes,,Won,2,0,0,Generie Marc Peco,RG Lands,
S,Rudy Maynard,4c Loam,,Won,2,0,0,Brenden Mcbain,Imperial Painter,
S,Brenden Mcbain,Imperial Painter,,Lost,0,2,0,Rudy Maynard,4c Loam,
S,Generie Marc Peco,RG Lands,,Lost,0,2,0,Tyler Marklyn,Death and Taxes,
F,Tyler Marklyn,Death and Taxes,,Won,2,0,0,Rudy Maynard,4c Loam,
F,Rudy Maynard,4c Loam,,Lost,0,2,0,Tyler Marklyn,Death and Taxes,
